img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_908143JapanFrontccc.jpg,Simple DS Series Vol. 15: The Kanshikikan 2 - Aratanaru 8-tsu no Jiken wo Touch seyo,DS,Adventure,D3 Publisher,Tomcat System,,0.04,,0.04,,,2007-05-31,
/games/boxart/full_3455372JapanFrontccc.jpg,Chaos;Head Noah,X360,Adventure,5pb,Genterprise,,0.04,,0.04,,,2009-02-26,
/games/boxart/full_4272157JapanFrontccc.jpg,Harukanaru Toki no Naka de 3: Unmei no Meikyuu Aizouban,PSP,Adventure,KOEI,Koei,,0.04,,0.04,,,2009-10-22,
/games/boxart/full_8523551JapanFrontccc.jpg,Detective Conan: Prelude from the Past,PSP,Adventure,Namco Bandai Games,Spike Chunsoft,,0.04,,0.04,,,2012-04-19,2019-01-20
/games/boxart/full_5846573JapanFrontccc.jpg,Attack on Titan: Escape from Certain Death,3DS,Adventure,Tecmo Koei,Koei Tecmo Games,,0.04,,0.04,,,2017-05-11,2019-01-29
/games/boxart/full_572060JapanFrontccc.jpg,Hakuoki: Shinkai - Hana no Shou,PSV,Adventure,Idea Factory,Design Factory,,0.04,,0.04,,,2016-06-16,2018-09-22
/games/boxart/full_9566394JapanFrontccc.jpg,Detective Conan: Phantom Rhapsody,3DS,Adventure,Namco Bandai Games,Bandai Namco Games,,0.04,,0.04,,,2014-04-17,2019-04-26
/games/boxart/full_sherlock-holmes-secret-of-the-silver-earring_245AmericaFront.jpg,Sherlock Holmes: Secret of The Silver Earring,Wii,Adventure,DreamCatcher Interactive,DreamCatcher Interactive,,0.04,,,0.03,0.0,2010-11-23,
/games/boxart/full_csi-fatal-conspiracy_675AmericaFront.jpg,CSI: Fatal Conspiracy,PC,Adventure,Ubisoft,Telltale Games,,0.04,0.0,,0.03,0.01,2010-10-26,
/games/boxart/full_2649115AmericaFrontccc.jpg,Game of Thrones: A Telltale Games Series,PS3,Adventure,Telltale Games,Telltale Games,,0.04,0.02,,0.02,0.01,2015-11-17,2019-01-04
/games/boxart/full_6839267AmericaFrontccc.jpg,Pajama Sam: You are What You Eat From Your Head to Your Feet,PS,Adventure,Infogrames,Runecraft,,0.04,0.02,,0.01,0.0,2001-12-14,
/games/boxart/9841404ccc.jpg,Teenage Zombies: Invasion of the Alien Brain Thingys,DS,Adventure,Ignition Entertainment,InLight Entertainment,,0.04,0.03,,0.0,0.0,2008-04-15,
/games/boxart/full_9043015JapanFrontccc.jpg,Sotsugyou II: Neo Generation,PS,Simulation,Riverhillsoft,Riverhillsoft,,0.04,,0.04,,0.0,1995-10-27,
/games/boxart/full_771436AmericaFrontccc.jpg,The Sims 4: Spa Day,PC,Simulation,Electronic Arts,Unknown,,0.04,,,0.04,0.0,2015-07-14,
/games/boxart/full_1724802JapanFrontccc.jpg,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,PS3,Simulation,Namco Bandai Games,Bandai Namco Games,,0.04,,0.04,,,2016-02-25,2018-06-03
/games/boxart/6675230ccc.jpg,Echo Night Beyond,PS2,Adventure,Agetec,From Software,,0.04,0.02,,0.01,0.0,2004-07-27,
/games/boxart/full_suzumiya-haruhi-no-tsuisou_940JapanFront.jpg,Suzumiya Haruhi no Tsuisou,PSP,Adventure,Namco Bandai,Bandai Namco Games,,0.04,,0.04,,,2011-05-12,
/games/boxart/full_tenshou-gakuen-gekkouroku_6JapanFront.jpg,Tenshou Gakuen Gekkouroku,PS2,Adventure,Asmik Ace Entertainment,Asmik Ace Entertainment,,0.04,,0.04,,,2006-11-22,
/games/boxart/full_1858135AmericaFrontccc.jpg,ABZU,PS4,Adventure,505 Games,Giant Squid Studios,,0.04,0.03,,,0.01,2017-01-31,2018-08-01
/games/boxart/full_9921812JapanFrontccc.jpg,Kisuato,PSV,Adventure,TGL,TGL,,0.04,,0.04,,,2015-11-26,2018-09-22
/games/boxart/full_3415581JapanFrontccc.jpg,Imabikisou,PS3,Adventure,Sega,ChunSoft,,0.04,,0.04,,,2007-10-25,
/games/boxart/full_hakuouki-reimeiroku-portable_469JapanFront.jpg,Hakuouki: Reimeiroku Portable,PSP,Adventure,Idea Factory,Otomate,,0.04,,0.04,,,2011-07-28,
/games/boxart/full_1590455JapanFrontccc.jpg,Reco Love: Blue Ocean,PSV,Adventure,Kadokawa Games,Dingo Inc.,,0.04,,0.04,,,2016-10-01,2018-09-22
/games/boxart/full_shin-koihime-musou-otome-ryouran-sangokushi-engi-shu-hen_365JapanFront.jpg,Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Shu-Hen,PSP,Adventure,Yeti,Yeti,,0.04,,0.04,,,2010-11-25,
/games/boxart/1540698ccc.jpg,RollerCoaster Tycoon,PC,Simulation,Microprose,Chris Sawyer,8.7,0.04,0.02,,0.02,0.0,1999-03-31,
/games/boxart/full_8189045AmericaFrontccc.jpg,Sid Meier's Railroads!,PC,Simulation,2K Games,Firaxis Games,,0.04,0.01,,0.03,0.0,2006-10-17,
/games/boxart/full_8824346JapanFrontccc.jpg,Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku,PSV,Simulation,FuRyu Corporation,FuRyu Corporation,,0.04,,0.04,,,2015-12-03,2018-09-22
/games/boxart/full_3720504AmericaFrontccc.jpg,Zoo Hospital,DS,Simulation,Majesco,Torus Games,,0.04,0.03,,0.0,0.0,2007-10-23,
/games/boxart/full_8075824JapanFrontccc.jpg,Ide Yosuke no Mahjong Kazoku,PS,Misc,Seta Corporation,Seta Corporation,,0.04,,0.04,,0.0,1995-11-03,
/games/boxart/full_9972995JapanFrontccc.jpg,Tokumei Sentai Go-Busters,DS,Misc,Namco Bandai Games,Bandai Namco Games,,0.04,,0.04,,,2012-09-27,2019-04-26
/games/boxart/full_3452632AmericaFrontccc.jpg,SteamWorld Collection,WiiU,Misc,Rising Star Games,Image & Form Games,,0.04,0.03,,0.0,0.0,2016-11-15,2018-08-30
/games/boxart/full_deal-or-no-deal-special-edition_7AmericaFront.jpg,Deal or No Deal: Special Edition,DS,Misc,Zoo Games,Zoo Games,,0.04,0.03,,,0.0,2010-10-11,
/games/boxart/full_849705AmericaFrontccc.jpg,FunkMaster Flex's Digital Hitz Factory,PS2,Misc,XS Games,Jester Interactive,,0.04,0.02,,0.01,0.0,2004-07-28,
/games/boxart/full_100-classic-games_924PALFront.jpg,100 Classic Games,DS,Misc,Rondomedia,Easy Interactive,,0.04,,,0.03,0.0,2011-04-08,
/games/boxart/default.jpg,Negima!? 3-Jikanme ~Koi to Mahou to Sekaiju Densetsu~,PS2,Adventure,Konami,Konami,,0.04,,0.04,,,2006-11-16,
/games/boxart/331676ccc.jpg,Obscure,XB,Adventure,DreamCatcher Interactive,Hydravision Entertainment,,0.04,0.03,,0.01,0.0,2005-04-06,
/games/boxart/full_6945414JapanFrontccc.jpg,Twilight Syndrome: Kinjiratera Toshi Densetsu,DS,Adventure,Spike,Spike,,0.04,,0.04,,,2008-07-24,
/games/boxart/full_6134956AmericaFrontccc.jpg,The Smurfs,PS,Adventure,Atari,Doki Denki,,0.04,0.02,,0.02,0.0,1999-12-14,
/games/boxart/full_gummy-bears-mini-golf_977AmericaFront.jpg,Gummy Bears Mini Golf,Wii,Sports,Storm City Games,Beyond Reality,,0.04,0.04,,,0.0,2010-09-30,
/games/boxart/full_4541759PALFrontccc.jpg,Pro Cycling Manager 2016,PC,Sports,Focus Home Interactive,Cyanide Studio,,0.04,,,0.04,0.0,2016-06-16,2018-06-30
/games/boxart/full_6907881AmericaFrontccc.jpg,Real Soccer 2008,DS,Sports,Ubisoft,Gameloft,,0.04,0.03,,0.0,0.0,2008-02-05,
/games/boxart/1292926ccc.gif,World Championship Pool 2004,XB,Sports,Jaleco,Blade Interactive,,0.04,0.03,,0.01,0.0,2003-12-09,
/games/boxart/full_3512128JapanFrontccc.jpg,Derby Tsuku 5: Derby Uma o Tsukurou!,PS2,Sports,Sega,Team Land Ho!,,0.04,,0.04,,,2006-01-19,
/games/boxart/full_jikkyou-powerful-major-league-2009_4JapanFront.jpg,Jikkyou Powerful Major League 2009,Wii,Sports,Konami,PawaPuro Production,,0.04,,0.04,,,2009-04-29,
/games/boxart/full_2574424AmericaFrontccc.jpg,Jane's Hotel,DS,Simulation,Zoo Games,Zoo Games,,0.04,0.03,,,0.0,2010-05-04,
/games/boxart/full_jojos-fashion-show-design-in-a-dash_8AmericaFront.jpg,Jojo's Fashion Show: Design in a Dash!,DS,Simulation,Ubisoft,GameLab,,0.04,0.04,,,0.0,2009-01-27,
